question_id,system_declared,system_code,discipline_code,discipline_name,topic_declared,subtopic_declared,learning_objective_declared,keywords,difficulty_declared,integrative_declared,integrated_disciplines_declared,clinical_correlation_declared,has_image,editorial_status,curricular_mapping_status,medical_audit_status
CB-ANAT-011,ENDO,ENDO,ANAT,Anatomia,Hipofise,Sela turcica,"A hipofise aloja-se na sela turcica do osso esfenoide, na base do cranio.",hipofise | sela turcica | osso esfenoide | quiasma optico | base do cranio,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-012,DIG,DIG,ANAT,Anatomia,Peritonio,Orgaos retroperitoneais,"Retroperitoneais: rins, suprarrenais, aorta, veia cava e a maior parte de pancreas e duodeno.",retroperitonio | peritonio | rins | pancreas | duodeno,intermediaria,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-013,NERV,NERV,ANAT,Anatomia,Meninges,Puncao lombar,"Meninges, de fora para dentro: dura-mater, aracnoide, pia-mater; o liquor esta no espaco subaracnoide.",meninges | dura-mater | aracnoide | pia-mater | liquor,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-014,LOCO,LOCO,ANAT,Anatomia,Articulacoes,Articulacao sinovial,"Articulacao sinovial: cavidade com liquido sinovial e cartilagem nas superficies, permitindo movimento amplo.",articulacao sinovial | liquido sinovial | cartilagem hialina | cavidade articular | joelho,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-015,CARDIO,CARDIO,ANAT,Anatomia,Grandes vasos,Ramos do arco aortico,"Ramos do arco aortico: tronco braquiocefalico, carotida comum esquerda e subclavia esquerda.",arco aortico | tronco braquiocefalico | carotida comum | subclavia | grandes vasos,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-016,DIG,DIG,ANAT,Anatomia,Estomago,Regioes do estomago,"Regioes do estomago: cardia, fundo, corpo, antro e piloro.",estomago | cardia | fundo | antro | piloro,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-017,NERV,NERV,ANAT,Anatomia,Nervos cranianos,Nervo facial,Nervo facial (VII) inerva os musculos da expressao facial; sua lesao periferica paralisa todo o hemiface.,nervo facial | paralisia de Bell | nervos cranianos | expressao facial | trigemeo,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-018,LOCO,LOCO,ANAT,Anatomia,Coluna vertebral,Regioes da coluna,"Coluna: 7 cervicais, 12 toracicas, 5 lombares, mais sacro e cocix.",coluna vertebral | vertebras cervicais | toracicas | lombares | sacro,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-019,RENAL,RENAL,ANAT,Anatomia,Trato urinario,Trajeto da urina,"Trajeto da urina: rim (pelve), ureter, bexiga, uretra.",trato urinario | ureter | bexiga | uretra | calculo renal,basica,False,,True,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-020,RESP,RESP,ANAT,Anatomia,Diafragma,Musculo da respiracao,"Diafragma: principal musculo inspiratorio; contrai e desce (nervo frenico, C3-C5).",diafragma | nervo frenico | inspiracao | C3-C5 | respiracao,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-021,CARDIO,CARDIO,ANAT,Anatomia,Pericardio,Tamponamento cardiaco,Pericardio envolve o coracao; acumulo de liquido nele (tamponamento) comprime o coracao e reduz o enchimento.,pericardio | tamponamento cardiaco | triade de Beck | pericardiocentese | coracao,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-022,DIG,DIG,ANAT,Anatomia,Circulacao portal,Veia porta,"Veia porta leva sangue do intestino ao figado; na cirrose, a hipertensao portal desvia por colaterais (varizes).",veia porta | circulacao portal | hipertensao portal | varizes esofagicas | cirrose,intermediaria,True,ANAT | PATO,True,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-023,NERV,NERV,ANAT,Anatomia,Vias da medula,Trato espinotalamico,Trato espinotalamico conduz dor e temperatura e cruza para o lado oposto na medula.,trato espinotalamico | dor e temperatura | medula | decussacao | coluna dorsal,intermediaria,True,ANAT | SEMIO,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-024,LOCO,LOCO,ANAT,Anatomia,Ombro,Manguito rotador,Manguito rotador: quatro musculos e tendoes que estabilizam e movimentam o ombro.,manguito rotador | ombro | supraespinhal | tendao | articulacao,intermediaria,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-025,REPRO,REPRO,ANAT,Anatomia,Reprodutor feminino,Trajeto do ovulo,"Ovulacao: ovario, tuba uterina (fecundacao), utero (implantacao). Implantacao na tuba = gravidez ectopica.",ovario | tuba uterina | ovulacao | utero | gravidez ectopica,basica,False,,False,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-026,REPRO,REPRO,ANAT,Anatomia,Reprodutor masculino,Trajeto do espermatozoide,"Espermatozoide: tubulos seminiferos, epididimo, ducto deferente, uretra. A vasectomia corta o deferente.",tubulos seminiferos | epididimo | ducto deferente | uretra | vasectomia,basica,False,,True,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-027,TEG,TEG,ANAT,Anatomia,Mama,Drenagem linfatica,A mama drena sobretudo para os linfonodos axilares; por isso a axila e avaliada no cancer de mama.,mama | linfonodos axilares | drenagem linfatica | cancer de mama | linfedema,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-028,NERV,NERV,ANAT,Anatomia,Vascularização encefálica,Polígono de Willis,O polígono de Willis é um anel de anastomoses arteriais que pode suprir o encéfalo por vias colaterais.,poligono de Willis | anastomose | circulacao cerebral | AVC | aneurisma,intermediaria,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-029,RESP,RESP,ANAT,Anatomia,Árvore brônquica,Brônquio principal direito,"O brônquio direito é mais curto, largo e vertical; por isso aspirações vão mais para o pulmão direito.",bronquio principal direito | aspiracao | carina | arvore bronquica | pneumonia aspirativa,basica,True,ANAT | SEMIO,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-030,DIG,DIG,ANAT,Anatomia,Cavidade abdominal,Órgãos retroperitoneais,"Retroperitoneal: órgão atrás do peritônio, coberto só na face anterior e fixo à parede posterior (rins, aorta, pâncreas).",retroperitoneal | peritonio | intraperitoneal | mesenterio | cavidade abdominal,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-031,ENDO,ENDO,ANAT,Anatomia,Nervo laríngeo recorrente,Relação com a tireoide,O nervo laríngeo recorrente passa junto à tireoide e inerva a laringe; sua lesão em cirurgia causa rouquidão.,nervo laringeo recorrente | tireoide | rouquidao | laringe | vago,intermediaria,True,ANAT | SEMIO,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-032,CARDIO,CARDIO,ANAT,Anatomia,Valvas cardíacas,Focos de ausculta,As valvas cardíacas garantem o fluxo em sentido único (abrem/fecham por pressão) e impedem o refluxo.,valvas cardiacas | mitral | aortica | fluxo unidirecional | bulhas,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-033,DIG,DIG,ANAT,Anatomia,Vias biliares,Trajeto da bile,"Bile: fígado, ductos hepáticos, colédoco (com a vesícula pelo cístico), até o duodeno.",vias biliares | coledoco | ducto cistico | vesicula biliar | ictericia,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-034,LOCO,LOCO,ANAT,Anatomia,Plexo braquial,Inervação do membro superior,"O plexo braquial (raízes C5-T1) origina os nervos do membro superior (mediano, ulnar, radial, etc.).",plexo braquial | nervo mediano | nervo ulnar | nervo radial | membro superior,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-035,NERV,NERV,ANAT,Anatomia,Vias motoras,Trato corticoespinhal,O trato corticoespinhal cruza (decussação das pirâmides); por isso a lesão de um lado causa fraqueza contralateral.,trato corticoespinhal | decussacao das piramides | contralateral | cortex motor | AVC,avancada,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-036,RENAL,RENAL,ANAT,Anatomia,Ureter,Estreitamentos anatômicos,"O ureter tem três estreitamentos (ureteropélvica, vasos ilíacos, ureterovesical), onde o cálculo tende a impactar.",ureter | estreitamento | calculo urinario | colica renal | litiase,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-037,LOCO,LOCO,ANAT,Anatomia,Articulações,Articulação sinovial,"Articulação sinovial: cápsula, cartilagem e líquido sinovial; permite grande mobilidade (joelho, ombro, quadril).",articulacao sinovial | liquido sinovial | cartilagem articular | capsula | mobilidade,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-038,HEMATO,HEMATO,ANAT,Anatomia,Baço,Função e localização,O baço filtra o sangue e atua na imunidade (bactérias encapsuladas); sua perda aumenta o risco dessas infecções.,baco | esplenectomia | bacterias encapsuladas | polpa branca | imunidade,basica,True,ANAT | IMUN,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-039,RESP,RESP,ANAT,Anatomia,Mediastino,Divisões e conteúdo,"Mediastino: espaço central do tórax com coração, grandes vasos, traqueia, esôfago, timo e nervos.",mediastino | coracao | grandes vasos | esofago | timo,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-040,NERV,NERV,ANAT,Anatomia,Nervos cranianos,Visão geral,"São doze pares de nervos cranianos (sensitivos, motores ou mistos), que inervam sobretudo a cabeça e o pescoço.",nervos cranianos | doze pares | sensitivo | motor | misto,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-041,DIG,DIG,ANAT,Anatomia,Parede abdominal,Canal inguinal e hérnia,Canal inguinal: passagem na parede abdominal inferior por onde vísceras podem se herniar (hérnia inguinal).,canal inguinal | hernia inguinal | parede abdominal | funiculo espermatico | virilha,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-042,ENDO,ENDO,ANAT,Anatomia,Hipófise,Adeno-hipófise e neuro-hipófise,"Adeno-hipófise: produz seus hormônios (GH, ACTH, TSH...). Neuro-hipófise: libera ADH e ocitocina feitos no hipotálamo.",hipofise | adeno-hipofise | neuro-hipofise | ADH | ocitocina,basica,True,ANAT | EMBR,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-043,REPRO,REPRO,ANAT,Anatomia,Próstata,Relação com a uretra,A próstata envolve a uretra; seu aumento (hiperplasia) a comprime e dificulta o fluxo urinário.,prostata | uretra | hiperplasia prostatica | miccao | bexiga,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-044,RENAL,RENAL,ANAT,Anatomia,Uretra,Diferença entre os sexos,"A uretra feminina é mais curta que a masculina, facilitando a ascensão de bactérias e a infecção urinária.",uretra | infeccao urinaria | uretra feminina | bexiga | ascensao bacteriana,basica,True,ANAT | MICR,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-045,LOCO,LOCO,ANAT,Anatomia,Veias dos membros,Superficiais e profundas,"Veias dos membros: sistemas superficial e profundo (unidos por perfurantes), com válvulas que levam o sangue ao coração.",veias superficiais | veias profundas | valvulas | varizes | trombose venosa profunda,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-046,HEMATO,HEMATO,ANAT,Anatomia,Medula óssea,Locais de hematopoese,"A hematopoese ocorre na medula óssea vermelha (ilíaco, esterno, vértebras); por isso a punção é feita na bacia.",medula ossea | hematopoese | crista iliaca | biopsia | celulas do sangue,basica,True,ANAT | HIST,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-049,RESP,RESP,ANAT,Anatomia,Anatomia radiológica,Radiografia de tórax normal,RX de tórax normal (PA): coração/mediastino formam a silhueta central; campos pulmonares escuros (ar); diafragma na base.,radiografia de torax | anatomia radiologica | mediastino | campos pulmonares | silhueta cardiaca,basica,False,,False,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-050,LOCO,LOCO,ANAT,Anatomia,Quadril,Colo do fêmur,"Colo do fêmur: região estreita e sob carga entre cabeça e diáfise; a osteoporose a torna frágil, fraturando em quedas leves no idoso.",colo do femur | quadril | osteoporose | fratura | idoso,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-051,TEG,TEG,ANAT,Anatomia,Anexos da pele,Glândulas cutâneas,Sudoríparas: suor (termorregulação). Sebáceas: sebo (lubrificação da pele e dos pelos).,glandula sudoripara | glandula sebacea | suor | sebo | anexos da pele,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-052,TEG,TEG,ANAT,Anatomia,Pele,Camadas da pele,"Pele, da superfície ao fundo: epiderme (epitélio), derme (conjuntivo, vasos, anexos), hipoderme (gordura).",epiderme | derme | hipoderme | camadas da pele | subcutaneo,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-053,IMUNO,IMUNO,ANAT,Anatomia,Órgãos linfoides,Primários e secundários,"Órgãos linfoides primários (medula, timo): formam/amadurecem linfócitos. Secundários (linfonodos, baço): montam a resposta.",orgaos linfoides | timo | medula ossea | linfonodo | baco,basica,True,ANAT | IMUN,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-054,LOCO,LOCO,ANAT,Anatomia,Coluna vertebral,Hérnia de disco,"Disco intervertebral amortece as vértebras; na hérnia, o núcleo pulposo se desloca e comprime uma raiz nervosa (dor irradiada).",disco intervertebral | hernia de disco | nucleo pulposo | raiz nervosa | ciatica,intermediaria,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-055,REPRO,REPRO,ANAT,Anatomia,Testículo,Drenagem venosa (varicocele),"Varicocele mais comum à esquerda: a veia testicular esquerda drena na veia renal em ângulo reto, dificultando o retorno.",varicocele | veia testicular | plexo pampiniforme | veia renal | fertilidade,intermediaria,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-056,Cardiovascular,CARDIO,ANAT,Anatomia,Vascularização do coração,Artérias coronárias,Reconhecer a irrigação coronariana na dominância direita e a relação com a parede inferior e o nó AV.,coronaria direita | dominancia | parede inferior | no atrioventricular,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-057,Nervoso,NERV,ANAT,Anatomia,Nervos cranianos,Nervo laríngeo recorrente,Reconhecer a relação anatômica do nervo laríngeo recorrente com a tireoide e a consequência de sua lesão.,nervo laringeo recorrente | vago | tireoide | rouquidao,avancada,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-058,Locomotor,LOCO,ANAT,Anatomia,Articulação do ombro,Manguito rotador,Identificar os componentes e a função estabilizadora do manguito rotador.,manguito rotador | supraespinhal | ombro | estabilizacao,intermediaria,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-059,Digestivo,DIG,ANAT,Anatomia,Cavidade abdominal,Órgãos retroperitoneais,Relacionar a posição retroperitoneal do pâncreas ao padrão de dor irradiada para as costas.,retroperitoneal | pancreas | peritonio | dor irradiada,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-060,Nervoso,NERV,ANAT,Anatomia,Medula espinhal,Vias sensitivas,Relacionar a via espinotalâmica à condução de dor e temperatura e explicar as dissociações sensitivas.,via espinotalamica | coluna dorsal | dor e temperatura | dissociacao sensitiva,avancada,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-061,Cardiovascular,CARDIO,ANAT,Anatomia,Circulação fetal,Ducto arterioso,Identificar o ducto arterioso e sua função de desvio na circulação fetal.,ducto arterioso | circulacao fetal | shunt | ligamento arterioso,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-062,Digestivo,DIG,ANAT,Anatomia,Circulação hepática,Sistema porta-hepático,Compreender o sistema porta-hepático e sua importância no processamento de nutrientes e detoxificação.,veia porta | sistema porta-hepatico | figado | nutrientes,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-063,Renal/Urinário,RENAL,ANAT,Anatomia,Anatomia do rim,Trajeto da urina,Fixar o trajeto correto da urina e a diferença entre ureter (rim-bexiga) e uretra (bexiga-exterior).,trajeto da urina | ureter | uretra | bexiga,basica,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-064,Locomotor,LOCO,ANAT,Anatomia,Tipos de articulação,Classificação funcional,"Classificar articulações pelo grau de mobilidade (sinovial, fibrosa, cartilaginosa).",articulacao sinovial | articulacao fibrosa | sutura | classificacao funcional,intermediaria,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-065,RESP,RESP,ANAT,Anatomia,Vias aéreas,Diferença entre brônquios principais,Relacionar a anatomia do brônquio direito à aspiração preferencial de corpos estranhos.,bronquio principal direito | aspiracao | corpo estranho | vias aereas,intermediaria,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-066,ENDO,ENDO,ANAT,Anatomia,Glândulas endócrinas,Relação hipotálamo-hipófise,Relacionar a sela túrcica à hipófise e a conexão com o hipotálamo ao controle hormonal.,sela turcica | hipofise | hipotalamo | haste hipofisaria,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-067,LOCO,LOCO,ANAT,Anatomia,Sistema muscular,Ação muscular (agonista/antagonista),Distinguir agonista e antagonista e entender por que os músculos trabalham em pares opostos.,agonista | antagonista | musculo esqueletico | movimento,intermediaria,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-068,NERV,NERV,ANAT,Anatomia,Neuroanatomia,Meninges,Reconhecer as três meninges na ordem correta e o espaço subaracnóideo do líquor.,meninges | dura-mater | aracnoide | pia-mater,basica,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-069,CARDIO,CARDIO,ANAT,Anatomia,Anatomia do coração,Valvas cardíacas,Identificar as valvas atrioventriculares: tricúspide (direita) e mitral/bicúspide (esquerda).,valva tricuspide | valva mitral | valvas atrioventriculares | coracao,intermediaria,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-070,DIG,DIG,ANAT,Anatomia,Anatomia abdominal,Órgãos retroperitoneais,Identificar os rins como exemplo de órgão retroperitoneal.,retroperitoneal | rins | peritonio | anatomia abdominal,intermediaria,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-071,RESP,RESP,ANAT,Anatomia,Pleuras,Pleura visceral e parietal,Reconhecer as folhas da pleura e a função do líquido na cavidade pleural.,pleura visceral | pleura parietal | cavidade pleural | liquido pleural,intermediaria,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-072,DIG,DIG,ANAT,Anatomia,Anatomia do fígado,Circulação portal,Compreender a veia porta hepática e a importância da circulação portal no metabolismo.,veia porta hepatica | circulacao portal | figado | nutrientes,avancada,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-073,RESP,RESP,ANAT,Anatomia,Anatomia radiológica,Densidades na radiografia,Compreender a escala de densidades radiológicas (osso branco → ar preto) pela absorção dos raios X.,radiografia | densidade radiologica | radiopaco | radiolucente,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-074,CARDIO,CARDIO,ANAT,Anatomia,Anatomia de superfície,Referências para procedimentos,Compreender o papel da anatomia de superfície em localizar estruturas profundas e guiar procedimentos.,anatomia de superficie | referencia anatomica | exame fisico | procedimentos,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-075,RENAL,RENAL,ANAT,Anatomia,Anatomia do rim,Néfron (estrutura),Reconhecer o néfron e suas partes (corpúsculo renal e túbulo) como unidade funcional do rim.,nefron | glomerulo | capsula de bowman | tubulo renal,intermediaria,True,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-076,CARDIO,CARDIO,ANAT,Anatomia,Circulação,Artérias x veias,Distinguir artérias (saem do coração) de veias (voltam ao coração) pelo sentido do fluxo.,arterias | veias | sentido do fluxo | circulacao,basica,False,,NAO_DECLARADA,False,NAO_DECLARADO,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
